,x,y,channel,board
0,0,0,CSC57,IB2
1,400,0,CSC53,IB2
2,800,0,CSC46,IB2
3,1200,0,CSC40,IB2
4,1600,0,CSC34,IB2
5,2000,0,CSC95,IB3
6,2400,0,CSC89,IB3
7,2800,0,CSC83,IB3
8,3200,0,CSC76,IB3
9,3600,0,CSC72,IB3
10,0,400,CSC63,IB2
11,400,400,CSC60,IB2
12,800,400,CSC52,IB2
13,1200,400,CSC45,IB2
14,1600,400,CSC39,IB2
15,2000,400,CSC90,IB3
16,2400,400,CSC84,IB3
17,2800,400,CSC77,IB3
18,3200,400,CSC69,IB3
19,3600,400,CSC66,IB3
20,0,800,CSC61,IB2
21,400,800,CSC54,IB2
22,800,800,CSC47,IB2
23,1200,800,CSC42,IB2
24,1600,800,CSC35,IB2
25,2000,800,CSC94,IB3
26,2400,800,CSC87,IB3
27,2800,800,CSC82,IB3
28,3200,800,CSC75,IB3
29,3600,800,CSC68,IB3
30,0,1200,CSC62,IB2
31,400,1200,CSC64,IB2
32,800,1200,CSC51,IB2
33,1200,1200,CSC44,IB2
34,1600,1200,CSC38,IB2
35,2000,1200,CSC91,IB3
36,2400,1200,CSC85,IB3
37,2800,1200,CSC78,IB3
38,3200,1200,CSC65,IB3
39,3600,1200,CSC67,IB3
40,0,1600,CSC58,IB2
41,400,1600,CSC56,IB2
42,800,1600,CSC48,IB2
43,1200,1600,CSC41,IB2
44,1600,1600,CSC36,IB2
45,2000,1600,CSC93,IB3
46,2400,1600,CSC88,IB3
47,2800,1600,CSC81,IB3
48,3200,1600,CSC73,IB3
49,3600,1600,CSC71,IB3
50,0,2000,CSC59,IB2
51,400,2000,CSC55,IB2
52,800,2000,CSC50,IB2
53,1200,2000,CSC43,IB2
54,1600,2000,CSC37,IB2
55,2000,2000,CSC92,IB3
56,2400,2000,CSC86,IB3
57,2800,2000,CSC79,IB3
58,3200,2000,CSC74,IB3
59,3600,2000,CSC70,IB3
