,x,y,channel
0,0,0,CSC1
1,0,-50,CSC2
2,0,-100,CSC3
3,0,-150,CSC4
4,0,-200,CSC5
5,0,-250,CSC6
6,0,-300,CSC7
7,0,-350,CSC8
8,0,-400,CSC9
9,0,-450,CSC10
10,0,-500,CSC11
11,0,-550,CSC12
12,0,-600,CSC13
13,0,-650,CSC14
14,0,-700,CSC15
15,0,-750,CSC16
