,x,y,channel,board
0,0,0,CSC25,IB1
1,400,0,CSC21,IB1
2,800,0,CSC14,IB1
3,1200,0,CSC8,IB1
4,1600,0,CSC2,IB1
10,0,400,CSC31,IB1
11,400,400,CSC28,IB1
12,800,400,CSC20,IB1
13,1200,400,CSC13,IB1
14,1600,400,CSC7,IB1
20,0,800,CSC29,IB1
21,400,800,CSC22,IB1
22,800,800,CSC15,IB1
23,1200,800,CSC10,IB1
24,1600,800,CSC3,IB1
30,0,1200,CSC30,IB1
31,400,1200,CSC32,IB1
32,800,1200,CSC19,IB1
33,1200,1200,CSC12,IB1
34,1600,1200,CSC6,IB1
40,0,1600,CSC26,IB1
41,400,1600,CSC24,IB1
42,800,1600,CSC16,IB1
43,1200,1600,CSC9,IB1
44,1600,1600,CSC4,IB1
50,0,2000,CSC27,IB1
51,400,2000,CSC23,IB1
52,800,2000,CSC18,IB1
53,1200,2000,CSC11,IB1
54,1600,2000,CSC5,IB1
5,2000,0,CSC95,IB3
6,2400,0,CSC89,IB3
7,2800,0,CSC83,IB3
8,3200,0,CSC76,IB3
9,3600,0,CSC72,IB3
15,2000,400,CSC90,IB3
16,2400,400,CSC84,IB3
17,2800,400,CSC77,IB3
18,3200,400,CSC69,IB3
19,3600,400,CSC66,IB3
25,2000,800,CSC94,IB3
26,2400,800,CSC87,IB3
27,2800,800,CSC82,IB3
28,3200,800,CSC75,IB3
29,3600,800,CSC68,IB3
35,2000,1200,CSC91,IB3
36,2400,1200,CSC85,IB3
37,2800,1200,CSC78,IB3
38,3200,1200,CSC65,IB3
39,3600,1200,CSC67,IB3
45,2000,1600,CSC93,IB3
46,2400,1600,CSC88,IB3
47,2800,1600,CSC81,IB3
48,3200,1600,CSC73,IB3
49,3600,1600,CSC71,IB3
55,2000,2000,CSC92,IB3
56,2400,2000,CSC86,IB3
57,2800,2000,CSC79,IB3
58,3200,2000,CSC74,IB3
59,3600,2000,CSC70,IB3
